STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max,TOTAL_DISSOLVED_SOLIDS_Min,TOTAL_DISSOLVED_SOLIDS_Max,FLUORIDE_Min,FLUORIDE_Max,ARSENIC_Min,ARSENIC_Max,Latitude,Longitude
4393,ANDHRA PRADESH,27,28,6.5,7.3,2172,2970,BDL,6,8.6,13.59,BDL,BDL,BDL,BDL,-,-,1521,1783,0.7,1.2,-,-,14.447187,78.808212
4394,ANDHRA PRADESH,25,28,6.4,6.8,2836,3080,1.2,2.8,7.87,9.2,BDL,BDL,BDL,BDL,-,-,1849,1984,1.1,1.2,-,-,13.725328,77.512282
4395,ANDHRA PRADESH,25,28,6.6,6.7,3210,3650,BDL,BDL,4.51,7.2,BDL,BDL,BDL,BDL,-,-,2189,2245,1.4,1.5,-,-,14.690736,77.572373
1533,ASSAM,24,26,6.8,7.5,193,262,1.2,1.8,0.7,0.8,BDL,BDL,BDL,BDL,-,-,112,168,BDL,BDL,-,-,27.396089,95.631783
1534,ASSAM,25,25,7.3,7.3,120,120,1.6,1.6,0.8,0.8,BDL,BDL,BDL,BDL,-,-,74,74,0.26,0.26,-,-,26.105415,93.113917
1535,ASSAM,24,25,7,7.3,256,288,1.2,1.8,0.7,1.4,BDL,BDL,BDL,BDL,-,-,146,160,BDL,0.21,-,-,26.98,94.63
1536,ASSAM,26,26,6.8,7,290,308,1.2,1.7,0.6,0.8,BDL,BDL,BDL,BDL,-,-,164,174,BDL,0.24,-,-,26.979722,94.632211
1537,ASSAM,26,26,7.4,7.8,223,365,1.1,1.3,0.7,1.8,BDL,BDL,BDL,BDL,-,-,132,200,0.23,0.24,-,-,26.750143,94.219855
1538,ASSAM,22,24,6.8,6.8,104,202,1.3,1.7,0.5,0.6,BDL,BDL,BDL,BDL,-,-,68,116,0.22,0.23,-,-,24.820617,92.802431
1539,ASSAM,28,28,7,7.3,276,392,1.7,2.1,0.5,0.7,BDL,BDL,BDL,BDL,-,-,166,212,BDL,0.22,-,-,26.315597,90.996408
1540,ASSAM,29,31,7.3,7.5,201,366,1.3,1.5,0.5,0.5,BDL,BDL,BDL,BDL,-,-,118,202,BDL,BDL,-,-,26.48,90.56
1541,ASSAM,26,27,7,7.3,194,390,1.1,1.6,0.7,0.7,BDL,BDL,BDL,BDL,-,-,124,214,BDL,0.23,-,-,26.145228,91.736806
1542,ASSAM,26,30,7,7.2,176,391,1.4,2,0.7,0.7,BDL,BDL,BDL,BDL,-,-,104,214,0.23,0.23,-,-,26.1441,91.735194
2243,ASSAM,25,25,7,7.2,295,310,1.4,2,0.6,0.8,BDL,BDL,BDL,BDL,-,-,164,172,BDL,0.26,-,-,27.28822,95.680737
2244,ASSAM,27,27,7,7,281,297,1.2,1.8,0.6,0.9,BDL,BDL,BDL,BDL,-,-,160,168,BDL,0.23,-,-,26.92,94.73
2245,ASSAM,25,28,7,7,151,358,1.1,1.8,0.6,0.8,BDL,BDL,BDL,BDL,-,-,92,196,0.21,0.22,-,-,26.5885,93.748586
2246,ASSAM,23,25,7,7.3,153,380,BDL,1.7,0.4,0.6,BDL,BDL,BDL,BDL,-,-,90,208,0.21,0.24,-,-,26.200386,92.937992
2247,ASSAM,23,25,7.1,7.1,41,408,1.1,1.9,BDL,0.5,BDL,BDL,BDL,BDL,-,-,30,220,BDL,BDL,-,-,27.595294,94.724003
